Name,Timings,Website,Phone,Ratings,Reviews,Top 3 reviews,Image
"Reichbach Center - Ketamine, Medical Cannabis &amp; Psychotropics","{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '9AM–5PM', 'Tuesday': '9AM–5PM', 'Wednesday': '9AM–5PM', 'Thursday': '9AM–5PM', 'Friday': '9AM–5PM'}",findpainrelief.com,+1 941-213-4444,4.9,88 reviews,"['""The staff treats you like family that they like.""', '""Also the clinic itself is super clean and comfy Wish I could rate ten ⭐️""', '""The atmosphere is everything you’d want in a medical facility.""']",https://www.gstatic.com/images/icons/material/system_gm/2x/photo_library_white_18dp.png
Ketamine Research Institute,"{'Saturday': '10AM–4PM', 'Sunday': '10AM–4PM', 'Monday': '9AM–6PM', 'Tuesday': '9AM–6PM', 'Wednesday': '9AM–6PM', 'Thursday': '9AM–6PM', 'Friday': '9AM–6PM'}",ketamineinstitute.com,+1 800-850-6979,4.3,8 reviews,"['""She even provided candy and drinks!""', '""In general this place is way inflexible and way over priced.""', '""I know first hand how life saving the work they do is.""']",https://lh5.googleusercontent.com/p/AF1QipMVS1FF2N_gveHf1h3IwvpTG6fW_ZqVpcLZMnar=w408-h255-k-no
Ketamine Health Centers,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '9AM–5PM', 'Tuesday': '9AM–5PM', 'Wednesday': '9AM–5PM', 'Thursday': '9AM–5PM', 'Friday': '9AM–5PM'}",ketaminehealthcenters.com,+1 239-449-8437,4.4,14 reviews,"['""If you are struggling, I highly recommend booking a consultation.""', '""Where do all of theses reviews come from? this place is a disaster.""', '""This office staff has truly changed my life.""']",https://www.gstatic.com/images/icons/material/system_gm/2x/photo_library_white_18dp.png
Ketamine Institute of Naples,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '9AM–6PM', 'Tuesday': '9AM–6PM', 'Wednesday': '9AM–6PM', 'Thursday': '9AM–6PM', 'Friday': '9AM–6PM'}",ketaminenaplesfl.com,+1 239-784-2297,5,5 reviews,"['""The ketamine experience is very relaxing and peaceful.""', '""My experience with Ketamine, was a little tough at first.""', '""Dr. Robles is very professional and knows all aspects of Ketamine Treatment.""']",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rokxbGykzhDFIQZZBhgzSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.583409&pitch=0&thumbfov=100
Anti Aging and Ketamine Center,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '8AM–5PM', 'Tuesday': '8AM–5PM', 'Wednesday': '8AM–5PM', 'Thursday': '8AM–5PM', 'Friday': '8AM–5PM'}",treasurecoastketamine.com,+1 941-755-9355,5,13 reviews,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FjPie5TOzFIYoutjsfmRpw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.52293&pitch=0&thumbfov=100
Anti Aging and Ketamine Center,"{'Saturday': '9AM–6PM', 'Sunday': 'Closed', 'Monday': '9AM–6PM', 'Tuesday': '9AM–6PM', 'Wednesday': '9AM–6PM', 'Thursday': '9AM–6PM', 'Friday': '9AM–6PM'}",ketaminehealthcenters.com,+1 772-907-5917,4.5,47 reviews,"['""The people at this place really know how to make you feel safe and supported.""', '""This facility strives to give the absolute best care on an individualized basis.""', '""I was very impressed with there customer service!!!""']",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FjPie5TOzFIYoutjsfmRpw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.52293&pitch=0&thumbfov=100
Ketamine Health Centers,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '10AM–5PM', 'Tuesday': '10AM–5PM', 'Wednesday': '10AM–5PM', 'Thursday': '10AM–5PM', 'Friday': '10AM–5PM'}",ketaminehealthcenters.com,+1 305-856-9442,5,7 reviews,"['""The staff is very welcoming and the atmosphere is relaxing.""', '""I highly recommend Ketamine Health Centers and am so grateful for their work.""', '""Both the doctor and nurse are very caring people.""']",https://www.gstatic.com/images/icons/material/system_gm/2x/photo_library_white_18dp.png
Ketamine Health Centers,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '9AM–4PM', 'Tuesday': '9AM–4PM', 'Wednesday': '9AM–4PM', 'Thursday': '9AM–4PM', 'Friday': '9AM–4PM'}",ivketamine.com,+1 954-237-1303,5,12 reviews,"['""The staff are excellent carrying people.""', '""It\'s a clean and calm environment and this benefited my experience greatly .""', '""Very professional atmosphere, and they provide great care to their patients.""']",https://lh5.googleusercontent.com/p/AF1QipPJlPMaf4XUzdYsMSsksGYPbhB_x3JimiTQktg=w408-h240-k-no-pi0-ya215.43158-ro-0-fo100
Ketamine Treatments IVKetamine.com,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '9AM–6PM', 'Tuesday': '9AM–6PM', 'Wednesday': '9AM–6PM', 'Thursday': '9AM–6PM', 'Friday': '9AM–6PM'}",imperialmedinfusions.com,+1 727-538-2646,4.9,30 reviews,"['""Dr. Hanna and staff of nurses and office staff are amazing!""', '""To walk using a cane to running with my puppy dog!""', '""His nursing staff makes you feel comfortable during every infusion.""']",https://lh5.googleusercontent.com/p/AF1QipM3kgrRx3wkczHPzfoVx9KMAGp16tHjXj15vocR=w408-h255-k-no
Imperial Medicine Ketamine and Wellness Infusion Therapy,"{'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '9AM–5PM', 'Tuesday': '9AM–5PM', 'Wednesday': '9AM–5PM', 'Thursday': '9AM–5PM', 'Friday': '9AM–5PM'}",newhorizonclinics.com,+1 954-533-0978,5,5 reviews,"['""The best service and results from Botox.""', '""The staff was excellent and very well educated on the services provided.""', '""Work with professionals, stay away from Imperial Medicine""']",https://lh5.googleusercontent.com/p/AF1QipMJWPY9w6AzS4mVvMQpi4cg9BVGDjBP1Xk0yOj7=w408-h315-k-no
